#_1_מישהו #_1_קסם #_2_את+מישהו ,#_1_someone #_1_magic #_2_someone+obj,
#_1_מישהו #_2_את+מישהו #_1_קסם,#_1_someone #_1_magic #_2_someone+obj,
#_2_את+מישהו #_1_מישהו #_1_קסם,#_1_someone #_1_magic #_2_someone+obj,
#_2_את+מישהו #_1_קסם #_1_מישהו,#_1_someone #_1_magic #_2_someone+obj,
#_1_קסם #_2_את+מישהו #_1_מישהו,#_1_someone #_1_magic #_2_someone+obj,
#_1_קסם #_1_מישהו #_2_את+מישהו ,#_1_someone #_1_magic #_2_someone+obj,
אהב,loved,
חבק,hugged,
ראה,saw,
הכיר ,knew,
הלביש ,dressed,
החליף,replaced,
נשק,kissed,
קרא,read,
רִצָּה,pleased,
שנא,hated,
תקן,corrected,
הזמין,invited,
הביא,brought,
הבין,understood,
העדיף,preferred,
זכר,remembered,
חפש,looked,for
